alert_id,event_id,timestamp,user_id,ip_address,country,resource_accessed,action_type,attack_type,failed_logins,data_download_mb,risk_score,anomaly_score,threat_level,recommended_action,status,created_at
A000001,E000018,2026-05-28 11:32:39,U0280,8.142.131.44,Tor Exit Node,/storage/bucket-private,configure,privilege_escalation,0,25.78,87,0.5968,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000002,E000020,2026-05-10 04:19:45,U0252,5.81.246.19,Tor Exit Node,/vpc/security-groups,configure,geographic_anomaly,3,272.76,61,0.5637,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000003,E000021,2026-05-14 13:08:15,U0094,91.254.228.1,Tor Exit Node,/admin/settings,download,data_exfiltration,0,6677.2,76,0.6413,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000004,E000024,2026-05-12 22:04:16,U0454,72.232.101.89,Ukraine,/admin/users,download,data_exfiltration,1,8101.03,100,0.6272,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000005,E000026,2026-05-09 23:19:57,U0239,172.0.50.59,Romania,/database/production,write,geographic_anomaly,1,365.61,80,0.5513,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000006,E000028,2026-05-30 02:58:32,U0001,198.58.229.207,Nigeria,/network/firewall,write,privilege_escalation,1,26.18,76,0.5889,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000007,E000030,2026-05-29 19:20:52,U0448,45.224.214.93,Nigeria,/vpc/security-groups,download,geographic_anomaly,3,570.62,72,0.5468,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000008,E000035,2026-05-21 07:18:33,U0065,213.205.230.43,Ukraine,/vpc/security-groups,download,geographic_anomaly,4,569.79,79,0.5703,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000009,E000043,2026-06-02 14:01:29,U0497,91.48.173.15,Anonymous Proxy,/storage/bucket-private,login,brute_force,9,9.27,86,0.573,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000010,E000045,2026-05-17 16:34:14,U0070,213.228.53.206,North Korea,/backup/snapshots,download,data_exfiltration,0,3976.82,92,0.6264,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000011,E000051,2026-05-19 13:27:50,U0178,8.63.154.97,India,/api/users,update,normal,2,0.19,21,0.5651,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000012,E000052,2026-05-10 07:30:27,U0220,198.196.253.20,Romania,/admin/users,download,data_exfiltration,1,8860.97,71,0.6369,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000013,E000054,2026-05-17 11:50:30,U0235,64.201.136.29,Anonymous Proxy,/database/production,write,privilege_escalation,3,127.41,91,0.6363,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000014,E000058,2026-05-08 00:22:38,U0170,5.220.162.125,Ukraine,/network/firewall,delete,privilege_escalation,1,30.24,61,0.5683,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000015,E000066,2026-05-25 12:24:55,U0101,213.197.231.228,Nigeria,/vpc/security-groups,download,geographic_anomaly,3,445.11,65,0.5473,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000016,E000068,2026-05-22 17:41:40,U0489,52.199.83.110,Anonymous Proxy,/network/firewall,login,brute_force,18,5.88,77,0.6041,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000017,E000076,2026-05-22 07:06:09,U0209,192.70.39.232,Belarus,/admin/settings,login,brute_force,12,5.0,79,0.5916,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000018,E000079,2026-05-21 03:33:36,U0378,196.23.170.58,Ukraine,/admin/settings,login,brute_force,11,2.02,90,0.5839,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000019,E000081,2026-05-26 07:39:44,U0362,24.135.47.220,Belarus,/admin/settings,login,brute_force,8,1.31,87,0.5896,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000020,E000089,2026-05-29 19:38:40,U0264,45.89.54.100,Tor Exit Node,/network/firewall,write,privilege_escalation,0,162.79,83,0.6043,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000021,E000093,2026-05-16 06:12:36,U0030,52.209.61.229,Nigeria,/iam/roles,write,privilege_escalation,0,148.84,61,0.5925,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000022,E000104,2026-05-21 22:33:13,U0251,91.134.163.14,Nigeria,/admin/users,write,privilege_escalation,2,34.56,80,0.6112,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000023,E000109,2026-05-28 20:26:10,U0209,45.136.39.61,Anonymous Proxy,/database/production,write,privilege_escalation,1,76.37,64,0.6135,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000024,E000115,2026-05-12 00:14:02,U0199,24.126.175.187,Romania,/admin/settings,login,brute_force,17,7.93,78,0.612,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000025,E000121,2026-05-24 04:04:51,U0009,64.204.37.62,Germany,/api/files,download,normal,0,1.67,17,0.5416,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000026,E000129,2026-05-13 09:31:32,U0307,198.67.36.102,Romania,/admin/users,download,data_exfiltration,2,2053.6,77,0.5918,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000027,E000135,2026-05-20 01:12:50,U0035,45.15.19.21,North Korea,/database/production,login,brute_force,19,8.29,79,0.5817,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000028,E000140,2026-05-13 09:50:14,U0077,198.133.175.48,Ukraine,/database/production,delete,privilege_escalation,2,101.15,73,0.5755,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000029,E000154,2026-05-14 14:09:20,U0391,72.186.25.68,North Korea,/iam/roles,login,brute_force,14,5.3,66,0.5451,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000030,E000167,2026-05-17 13:01:41,U0443,185.210.231.216,Anonymous Proxy,/iam/roles,download,data_exfiltration,1,4573.09,92,0.6042,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000031,E000168,2026-05-11 18:35:24,U0157,24.186.131.1,Nigeria,/storage/bucket-private,login,brute_force,19,3.08,80,0.5876,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000032,E000169,2026-05-12 15:37:08,U0031,196.218.22.135,Romania,/admin/users,download,geographic_anomaly,4,399.27,50,0.5504,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000033,E000172,2026-05-21 01:49:28,U0452,8.153.203.140,Unknown,/database/production,download,data_exfiltration,0,5108.31,78,0.598,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000034,E000181,2026-06-02 05:11:37,U0159,172.79.24.248,Belarus,/iam/roles,download,data_exfiltration,1,7437.31,78,0.597,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000035,E000187,2026-05-08 09:07:22,U0332,24.8.245.172,France,/database/staging,list,normal,2,21.69,30,0.5677,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000036,E000191,2026-05-08 06:24:41,U0209,213.75.92.29,Unknown,/vpc/security-groups,download,geographic_anomaly,4,95.2,75,0.5468,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000037,E000195,2026-05-11 20:02:14,U0104,185.92.43.226,Unknown,/backup/snapshots,delete,privilege_escalation,1,68.51,82,0.5861,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000038,E000202,2026-05-06 16:02:57,U0207,64.109.170.152,Nigeria,/database/production,download,data_exfiltration,0,8600.24,100,0.6459,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000039,E000205,2026-05-09 09:08:25,U0020,24.127.252.208,Unknown,/admin/settings,download,data_exfiltration,1,4922.76,78,0.6224,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000040,E000209,2026-05-30 14:05:39,U0119,192.148.60.56,Belarus,/network/firewall,download,data_exfiltration,1,3729.35,97,0.6316,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000041,E000214,2026-05-17 17:55:02,U0133,198.11.38.151,Nigeria,/admin/settings,write,geographic_anomaly,1,124.1,62,0.5538,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000042,E000216,2026-06-02 12:09:20,U0497,91.249.29.85,Tor Exit Node,/admin/users,download,geographic_anomaly,4,445.23,54,0.5604,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000043,E000217,2026-05-29 13:08:01,U0222,72.118.174.5,Spain,/database/production,logout,normal,1,11.33,8,0.5485,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000044,E000223,2026-05-29 20:54:01,U0106,24.138.231.135,Nigeria,/database/production,download,data_exfiltration,1,2890.77,81,0.6095,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000045,E000225,2026-05-20 22:22:58,U0195,192.121.65.30,Romania,/iam/roles,configure,privilege_escalation,0,23.71,67,0.5855,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000046,E000227,2026-05-18 06:02:40,U0469,213.234.88.156,Unknown,/database/production,login,brute_force,11,1.09,81,0.5536,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000047,E000240,2026-05-20 20:09:16,U0486,45.139.79.198,Anonymous Proxy,/backup/snapshots,write,privilege_escalation,3,74.66,90,0.6376,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000048,E000253,2026-05-13 20:36:21,U0372,91.196.147.89,Tor Exit Node,/database/production,login,brute_force,15,8.23,89,0.5732,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000049,E000258,2026-05-23 10:41:04,U0094,192.241.198.220,North Korea,/storage/bucket-private,download,data_exfiltration,1,4593.83,84,0.5863,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000050,E000263,2026-05-29 19:20:31,U0285,185.240.17.68,Romania,/vpc/security-groups,configure,privilege_escalation,1,1.8,75,0.599,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000051,E000272,2026-05-15 23:58:39,U0006,91.120.51.241,North Korea,/network/firewall,login,brute_force,14,8.23,84,0.5612,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000052,E000273,2026-05-09 21:00:22,U0143,213.46.163.78,Belarus,/admin/settings,download,geographic_anomaly,1,411.41,81,0.5533,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000053,E000274,2026-06-02 21:44:54,U0306,172.247.238.93,Ukraine,/network/firewall,login,brute_force,13,5.95,82,0.5538,Critical,Block IP address,OPEN,2026-06-02 21:49:52
