event_id,timestamp,user_id,ip_address,country,resource_accessed,action_type,failed_logins,session_duration,data_download_mb,admin_action,risk_score,attack_type,label,prediction,anomaly_score,threat_level,recommended_action
E000001,2026-05-08 16:56:19,U0473,172.91.40.86,Canada,/storage/bucket-public,logout,0,1625,51.57,No,3,normal,0,0,0.4368,Low,No Action Required
E000002,2026-05-22 02:52:42,U0093,64.221.197.22,Ireland,/vpc/security-groups,logout,0,584,28.6,No,17,normal,0,0,0.4329,Low,No Action Required
E000003,2026-05-18 18:56:59,U0213,172.149.52.106,Singapore,/api/data,update,0,183,6.58,No,2,normal,0,0,0.4568,Low,No Action Required
E000004,2026-06-01 18:28:52,U0491,198.23.231.103,Canada,/storage/bucket-public,download,0,975,5.39,No,14,normal,0,0,0.4364,Low,No Action Required
E000005,2026-05-30 21:05:24,U0243,24.19.194.13,Norway,/vpc/security-groups,logout,1,1861,29.23,No,14,normal,0,0,0.441,Low,No Action Required
E000006,2026-06-02 12:03:24,U0318,104.223.31.23,Finland,/storage/bucket-public,logout,0,751,43.92,No,19,normal,0,0,0.423,Low,No Action Required
E000007,2026-05-27 21:23:01,U0385,72.238.40.134,Singapore,/logs/audit,list,0,1466,53.04,No,31,normal,0,0,0.4267,Low,No Action Required
E000008,2026-05-10 13:25:51,U0496,64.49.157.125,France,/compute/instances,update,0,3182,33.44,No,14,normal,0,0,0.4176,Low,No Action Required
E000009,2026-05-09 21:48:16,U0040,24.39.53.133,Netherlands,/storage/bucket-public,download,0,2717,22.19,No,6,normal,0,0,0.4349,Low,No Action Required
E000010,2026-05-21 15:19:23,U0158,104.203.70.219,Ireland,/compute/instances,login,0,1415,7.22,No,10,normal,0,0,0.3809,Low,No Action Required
E000011,2026-05-24 07:22:31,U0351,52.219.227.83,Norway,/logs/audit,download,0,938,2.34,No,21,normal,0,0,0.4128,Low,No Action Required
E000012,2026-05-21 01:54:43,U0156,24.186.43.122,Australia,/storage/bucket-private,update,0,1494,28.03,No,20,normal,0,0,0.4288,Low,No Action Required
E000013,2026-05-16 11:16:39,U0222,198.188.137.55,United Kingdom,/database/staging,update,0,1724,42.65,No,8,normal,0,0,0.4231,Low,No Action Required
E000014,2026-05-21 04:39:04,U0090,52.116.85.127,Germany,/network/firewall,upload,0,1781,24.94,No,26,normal,0,0,0.4271,Low,No Action Required
E000015,2026-05-20 21:03:22,U0179,24.151.94.67,France,/api/users,read,0,958,27.82,No,26,normal,0,0,0.4118,Low,No Action Required
E000016,2026-05-13 21:29:37,U0117,8.231.149.236,Spain,/api/users,upload,0,1207,5.37,No,28,normal,0,0,0.434,Low,No Action Required
E000017,2026-05-09 14:44:09,U0176,24.74.78.215,India,/logs/audit,logout,0,427,0.49,No,5,normal,0,0,0.4163,Low,No Action Required
E000018,2026-05-28 11:32:39,U0280,8.142.131.44,Tor Exit Node,/storage/bucket-private,configure,0,810,25.78,Yes,87,privilege_escalation,1,1,0.5968,High,Temporarily lock account
E000019,2026-05-18 15:13:49,U0489,52.197.103.217,Sweden,/api/users,download,0,627,10.83,No,0,normal,0,0,0.4397,Low,No Action Required
E000020,2026-05-10 04:19:45,U0252,5.81.246.19,Tor Exit Node,/vpc/security-groups,configure,3,434,272.76,No,61,geographic_anomaly,1,1,0.5637,Medium,Require MFA verification
E000021,2026-05-14 13:08:15,U0094,91.254.228.1,Tor Exit Node,/admin/settings,download,0,5763,6677.2,No,76,data_exfiltration,1,1,0.6413,Critical,Terminate session
E000022,2026-05-23 10:30:55,U0230,8.67.150.63,Australia,/logs/audit,list,0,2191,2.39,No,0,normal,0,0,0.4426,Low,No Action Required
E000023,2026-05-09 15:58:25,U0165,198.240.230.222,India,/database/staging,logout,0,3504,29.03,No,25,normal,0,0,0.4268,Low,No Action Required
E000024,2026-05-12 22:04:16,U0454,72.232.101.89,Ukraine,/admin/users,download,1,2221,8101.03,No,100,data_exfiltration,1,1,0.6272,Critical,Terminate session
E000025,2026-05-13 03:16:23,U0194,192.182.23.218,Finland,/compute/instances,read,0,432,103.79,No,12,normal,0,0,0.4368,Low,No Action Required
E000026,2026-05-09 23:19:57,U0239,172.0.50.59,Romania,/database/production,write,1,464,365.61,No,80,geographic_anomaly,1,1,0.5513,High,Temporarily lock account
E000027,2026-05-17 18:31:20,U0082,104.212.119.69,Germany,/database/production,logout,0,3819,44.18,No,0,normal,0,0,0.4681,Low,No Action Required
E000028,2026-05-30 02:58:32,U0001,198.58.229.207,Nigeria,/network/firewall,write,1,773,26.18,Yes,76,privilege_escalation,1,1,0.5889,High,Temporarily lock account
E000029,2026-05-19 01:27:12,U0017,72.189.56.78,United Kingdom,/logs/audit,list,0,2346,29.23,No,21,normal,0,0,0.4139,Low,No Action Required
E000030,2026-05-29 19:20:52,U0448,45.224.214.93,Nigeria,/vpc/security-groups,download,3,548,570.62,No,72,geographic_anomaly,1,1,0.5468,Medium,Require MFA verification
E000031,2026-05-26 16:15:01,U0395,8.93.162.236,Norway,/api/data,read,0,1391,10.44,No,14,normal,0,0,0.3916,Low,No Action Required
E000032,2026-05-12 20:48:35,U0053,104.200.245.213,Japan,/api/data,update,0,1348,28.45,No,8,normal,0,0,0.3971,Low,No Action Required
E000033,2026-05-31 09:34:30,U0251,64.103.1.118,Netherlands,/compute/instances,read,0,1749,0.49,No,14,normal,0,0,0.3852,Low,No Action Required
E000034,2026-05-08 12:10:07,U0440,52.14.80.47,Japan,/api/files,logout,0,1574,18.23,Yes,30,normal,0,0,0.5307,Low,No Action Required
E000035,2026-05-21 07:18:33,U0065,213.205.230.43,Ukraine,/vpc/security-groups,download,4,276,569.79,No,79,geographic_anomaly,1,1,0.5703,High,Temporarily lock account
E000036,2026-06-02 11:40:18,U0491,24.217.109.53,Japan,/iam/roles,login,0,2262,7.56,No,10,normal,0,0,0.3875,Low,No Action Required
E000037,2026-05-30 10:46:33,U0274,172.177.45.6,Canada,/api/files,login,1,1654,24.24,No,11,normal,0,0,0.4273,Low,No Action Required
E000038,2026-05-21 17:30:05,U0044,24.127.181.43,Sweden,/api/files,upload,2,2888,67.22,No,3,normal,0,0,0.5232,Low,No Action Required
E000039,2026-05-19 18:09:47,U0241,198.74.243.252,Canada,/compute/instances,update,0,1021,9.4,No,17,normal,0,0,0.4101,Low,No Action Required
E000040,2026-05-27 19:14:28,U0455,72.119.227.1,United Kingdom,/database/staging,update,1,2274,7.96,No,13,normal,0,0,0.4442,Low,No Action Required
E000041,2026-05-18 16:56:29,U0146,64.205.20.229,Sweden,/admin/settings,read,0,413,6.46,No,16,normal,0,0,0.4547,Low,No Action Required
E000042,2026-05-29 19:44:54,U0416,64.136.81.202,Finland,/api/files,logout,0,3064,19.18,No,26,normal,0,0,0.4203,Low,No Action Required
E000043,2026-06-02 14:01:29,U0497,91.48.173.15,Anonymous Proxy,/storage/bucket-private,login,9,14,9.27,No,86,brute_force,1,1,0.573,High,Temporarily lock account
E000044,2026-05-05 06:13:18,U0417,192.237.203.201,Finland,/api/files,read,1,599,5.3,No,12,normal,0,0,0.4382,Low,No Action Required
